price,condition,mileage,year_built,engine,location,company,model
59800,Used,94999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
32800,Used,89999,2010,1596,Selangor,Volkswagen,Beetle
69800,Used,79999,2015,1197,Penang,Volkswagen,Beetle
59000,Used,189999,2014,1197,Selangor,Volkswagen,Beetle
57770,Used,119999,2013,1390,Selangor,Volkswagen,Beetle
32000,Used,84999,2010,1596,Negeri Sembilan,Volkswagen,Beetle
57000,Used,129999,2012,1197,Penang,Volkswagen,Beetle
56999,Used,99999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
33000,Used,159999,2008,1595,Selangor,Volkswagen,Beetle
62800,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
123000,Used,34999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
123000,Used,29999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
58000,Used,69999,2012,1197,Kuala Lumpur,Volkswagen,Beetle
66000,Used,64999,2014,1197,Johor,Volkswagen,Beetle
53888,Used,79999,2012,1197,Selangor,Volkswagen,Beetle
68800,Used,54999,2014,1197,Johor,Volkswagen,Beetle
65800,Used,59999,2014,1197,Johor,Volkswagen,Beetle
73800,Used,54999,2015,1197,Selangor,Volkswagen,Beetle
69999,Used,84999,2014,1197,Selangor,Volkswagen,Beetle
65800,Used,59999,2014,1197,Johor,Volkswagen,Beetle
68800,Used,54999,2014,1197,Johor,Volkswagen,Beetle
63800,Used,89999,2013,1197,Johor,Volkswagen,Beetle
106800,Used,29999,2017,1197,Selangor,Volkswagen,Beetle
33980,Used,139999,2010,1596,Selangor,Volkswagen,Beetle
85000,Used,149999,2012,1984,Selangor,Volkswagen,Beetle
65000,Used,139999,2013,1197,Penang,Volkswagen,Beetle
63800,Used,89999,2014,1197,Selangor,Volkswagen,Beetle
106800,Used,29999,2017,1197,Selangor,Volkswagen,Beetle
106800,Used,29999,2017,1197,Selangor,Volkswagen,Beetle
113888,Used,34999,2018,1197,Selangor,Volkswagen,Beetle
66800,Used,69999,2014,1197,Johor,Volkswagen,Beetle
69880,Used,94999,2014,1197,Perak,Volkswagen,Beetle
63888,Used,149999,2013,1197,Kedah,Volkswagen,Beetle
58800,Used,89999,2012,1197,Selangor,Volkswagen,Beetle
62800,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
99900,Used,59999,2012,1984,Sabah,Volkswagen,Beetle
62999,Used,79999,2013,1197,Johor,Volkswagen,Beetle
63800,Used,44999,2014,1197,Selangor,Volkswagen,Beetle
62800,Used,44999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
42800,Used,109999,2009,1595,Johor,Volkswagen,Beetle
59800,Used,69999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
66800,Used,64999,2014,1197,Johor,Volkswagen,Beetle
73800,Used,64999,2016,1197,Selangor,Volkswagen,Beetle
29800,Used,84999,2010,1595,Kedah,Volkswagen,Beetle
31800,Used,Used,Used,Used,Kuala Lumpur,Volkswagen,Beetle
73888,Used,64999,2016,1197,Selangor,Volkswagen,Beetle
65000,Used,69999,2013,1197,Penang,Volkswagen,Beetle
78999,Used,49999,2014,1197,Penang,Volkswagen,Beetle
65000,Used,84999,2012,1197,Kuala Lumpur,Volkswagen,Beetle
83999,Used,84999,2013,1984,Kuala Lumpur,Volkswagen,Beetle
53000,Used,99999,2013,1197,Kedah,Volkswagen,Beetle
87888,Used,84999,2013,1984,Kuala Lumpur,Volkswagen,Beetle
33980,Used,139999,2010,1596,Selangor,Volkswagen,Beetle
36900,Used,59999,2010,1596,Penang,Volkswagen,Beetle
112800,Used,49999,2017,1197,Penang,Volkswagen,Beetle
70800,New,44999,2014,1197,Selangor,Volkswagen,Beetle
62800,Used,109999,2013,1197,Penang,Volkswagen,Beetle
35980,Used,139999,2010,1596,Selangor,Volkswagen,Beetle
108000,Used,54999,2017,1197,Penang,Volkswagen,Beetle
63800,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
108800,Used,29999,2017,1197,Selangor,Volkswagen,Beetle
69999,Used,84999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
68800,Used,64999,2015,1197,Kuala Lumpur,Volkswagen,Beetle
66800,Used,Used,Used,Used,Penang,Volkswagen,Beetle
65800,Used,84999,2013,1197,Penang,Volkswagen,Beetle
69800,Used,49999,2014,1197,Johor,Volkswagen,Beetle
58800,Used,64999,2013,1197,Pahang,Volkswagen,Beetle
39900,Used,59999,2010,1596,Penang,Volkswagen,Beetle
72800,Used,39999,2014,1197,Selangor,Volkswagen,Beetle
59800,Used,74999,2013,1197,Selangor,Volkswagen,Beetle
72800,Used,84999,2015,1197,Kuala Lumpur,Volkswagen,Beetle
64800,Used,84999,2013,1197,Johor,Volkswagen,Beetle
73800,Used,59999,2015,1197,Selangor,Volkswagen,Beetle
49000,Recon,99999,2010,1595,Sabah,Volkswagen,Beetle
59800,Used,59999,2013,1390,Johor,Volkswagen,Beetle
65000,Used,74999,2014,1197,Selangor,Volkswagen,Beetle
59500,Used,179999,2014,1197,Selangor,Volkswagen,Beetle
57900,Used,99999,2013,1197,Kedah,Volkswagen,Beetle
69000,Recon,69999,2013,1390,Putrajaya,Volkswagen,Beetle
64800,Used,84999,2013,1197,Johor,Volkswagen,Beetle
73800,Used,59999,2015,1197,Selangor,Volkswagen,Beetle
49000,Recon,99999,2010,1595,Sabah,Volkswagen,Beetle
59800,Used,59999,2013,1390,Johor,Volkswagen,Beetle
65000,Used,74999,2014,1197,Selangor,Volkswagen,Beetle
59500,Used,179999,2014,1197,Selangor,Volkswagen,Beetle
57900,Used,99999,2013,1197,Kedah,Volkswagen,Beetle
69000,Recon,69999,2013,1390,Putrajaya,Volkswagen,Beetle
41900,Used,84999,2013,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,74999,2014,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,74999,2013,1798,Kuala Lumpur,Volkswagen,CC
41900,Used,84999,2013,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,74999,2014,1798,Kuala Lumpur,Volkswagen,CC
49999,Used,89999,2014,1798,Johor,Volkswagen,CC
45800,Used,89999,2013,1798,Selangor,Volkswagen,CC
49800,Used,109999,2014,1798,Penang,Volkswagen,CC
44800,Used,64999,2013,1798,Kuala Lumpur,Volkswagen,CC
39800,Used,84999,2012,1798,Kuala Lumpur,Volkswagen,CC
44999,Used,84999,2013,1798,Johor,Volkswagen,CC
46990,Used,84999,2014,1798,Selangor,Volkswagen,CC
42800,Used,299999,2012,1798,Johor,Volkswagen,CC
49800,Used,64999,2012,1798,Johor,Volkswagen,CC
53800,Used,109999,2013,1798,Penang,Volkswagen,CC
41900,Used,84999,2013,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,84999,2014,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,74999,2013,1798,Kuala Lumpur,Volkswagen,CC
40900,Used,74999,2014,1798,Kuala Lumpur,Volkswagen,CC
42780,Used,64999,2014,1798,Selangor,Volkswagen,CC
39999,Used,94999,2013,1798,Kuala Lumpur,Volkswagen,CC
52800,Used,139999,2012,1798,Penang,Volkswagen,CC
38800,Used,109999,2012,1798,Kuala Lumpur,Volkswagen,CC
46990,Used,89999,2014,1798,Selangor,Volkswagen,CC
40800,Used,119999,2012,1798,Kuala Lumpur,Volkswagen,CC
52888,Used,94999,2013,1798,Kuala Lumpur,Volkswagen,CC
49999,Used,94999,2014,1798,Johor,Volkswagen,CC
44999,Used,79999,2013,1798,Johor,Volkswagen,CC
53999,Used,89999,2014,1798,Johor,Volkswagen,CC
39800,Used,84999,2012,1798,Selangor,Volkswagen,CC
40900,Used,74999,2013,1798,Kuala Lumpur,Volkswagen,CC
48800,Used,149999,2012,1798,Johor,Volkswagen,CC
44999,Used,64999,2013,1798,Johor,Volkswagen,CC
44999,Used,74999,2014,1798,Johor,Volkswagen,CC
45800,Used,69999,2013,1798,Kuala Lumpur,Volkswagen,CC
37800,Used,94999,2012,1798,Perak,Volkswagen,CC
53888,Used,69999,2015,1798,Selangor,Volkswagen,CC
42700,Used,159999,2012,1798,Kuala Lumpur,Volkswagen,CC
44999,Used,89999,2013,1798,Johor,Volkswagen,CC
39391,Used,84999,2013,1798,Selangor,Volkswagen,CC
49999,Used,89999,2014,1798,Johor,Volkswagen,CC
49999,Used,59999,2014,1798,Johor,Volkswagen,CC
49999,Used,74999,2014,1798,Johor,Volkswagen,CC
49999,Used,74999,2014,1798,Johor,Volkswagen,CC
51900,Used,59999,2014,1798,Selangor,Volkswagen,CC
44999,Used,79999,2013,1798,Johor,Volkswagen,CC
44999,Used,94999,2013,1798,Johor,Volkswagen,CC
53999,Used,89999,2014,1798,Johor,Volkswagen,CC
44999,Used,99999,2013,1798,Johor,Volkswagen,CC
44999,Used,99999,2013,1798,Johor,Volkswagen,CC
40800,Used,119999,2013,1798,Kuala Lumpur,Volkswagen,CC
44999,Used,99999,2013,1798,Johor,Volkswagen,CC
44999,Used,74999,2013,1798,Johor,Volkswagen,CC
57827,Used,139999,2013,1798,Perak,Volkswagen,CC
56999,Used,89999,2014,1798,Johor,Volkswagen,CC
49999,Used,79999,2014,1798,Johor,Volkswagen,CC
44999,Used,74999,2013,1798,Johor,Volkswagen,CC
44999,Used,74999,2013,1798,Johor,Volkswagen,CC
53999,Used,89999,2014,1798,Johor,Volkswagen,CC
41800,Used,84999,2013,1798,Kuala Lumpur,Volkswagen,CC
49999,Used,94999,2014,1798,Johor,Volkswagen,CC
53800,Used,119999,2013,1798,Johor,Volkswagen,CC
47800,Used,64999,2013,1798,Selangor,Volkswagen,CC
49999,Used,99999,2014,1798,Johor,Volkswagen,CC
53800,Used,74999,2012,1798,Penang,Volkswagen,CC
49999,Used,109999,2014,1798,Johor,Volkswagen,CC
49999,Used,84999,2014,1798,Johor,Volkswagen,CC
52000,Used,109999,2013,1798,Kuala Lumpur,Volkswagen,CC
49999,Used,119999,2014,1798,Johor,Volkswagen,CC
49999,Used,84999,2014,1798,Johor,Volkswagen,CC
41800,Used,79999,2013,1798,Kuala Lumpur,Volkswagen,CC
42800,Used,84999,2012,1798,Kuala Lumpur,Volkswagen,CC
49999,Used,84999,2014,1798,Johor,Volkswagen,CC
49999,Used,84999,2014,1798,Johor,Volkswagen,CC
49999,Used,69999,2014,1798,Johor,Volkswagen,CC
50000,Used,139999,2013,1798,Kuala Lumpur,Volkswagen,CC
42800,Used,119999,2013,1798,Selangor,Volkswagen,CC
49999,Used,119999,2014,1798,Johor,Volkswagen,CC
47888,Used,69999,2012,1798,Johor,Volkswagen,CC
55000,Used,109999,2013,1798,Selangor,Volkswagen,CC
49800,Used,64999,2013,1798,Selangor,Volkswagen,CC
41888,Used,94999,2013,1798,Selangor,Volkswagen,CC
50000,Used,189999,2014,1798,Selangor,Volkswagen,CC
149990,Used,99999,2018,1984,Selangor,Volkswagen,Golf GTI
66700,Used,89999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
56800,Used,79999,2011,1984,Selangor,Volkswagen,Golf GTI
98800,Used,99999,2013,1984,Penang,Volkswagen,Golf GTI
102888,Used,94999,2014,1984,Kuala Lumpur,Volkswagen,Golf GTI
54900,Used,94999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
54900,Used,89999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
65800,Used,109999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
149000,Recon,79999,2018,1984,Selangor,Volkswagen,Golf GTI
68800,Used,129999,2011,1984,Kuala Lumpur,Volkswagen,Golf GTI
98800,Used,74999,2013,1984,Kuala Lumpur,Volkswagen,Golf GTI
68800,Used,99999,2013,1984,Kuala Lumpur,Volkswagen,Golf GTI
58888,Used,84999,2011,1984,Perak,Volkswagen,Golf GTI
145900,Used,44999,2018,1984,Selangor,Volkswagen,Golf GTI
58800,Used,94999,2011,1984,Kuala Lumpur,Volkswagen,Golf GTI
64800,Used,79999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
169800,Recon,39999,2018,1984,Selangor,Volkswagen,Golf GTI
149888,Used,74999,2017,1984,Selangor,Volkswagen,Golf GTI
73800,Used,84999,2012,1984,Selangor,Volkswagen,Golf GTI
109800,Used,94999,2014,1984,Kuala Lumpur,Volkswagen,Golf GTI
60999,Used,109999,2012,1984,Selangor,Volkswagen,Golf GTI
71800,Used,74999,2012,1984,Johor,Volkswagen,Golf GTI
54888,Used,89999,2011,1984,Kuala Lumpur,Volkswagen,Golf GTI
55800,Used,99999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
62999,Used,109999,2011,1984,Selangor,Volkswagen,Golf GTI
169000,Recon,59999,2019,1984,Kuala Lumpur,Volkswagen,Golf GTI
71800,Used,94999,2013,1984,Johor,Volkswagen,Golf GTI
178000,Recon,44999,2019,1984,Kuala Lumpur,Volkswagen,Golf GTI
69500,Used,84999,2013,1984,Selangor,Volkswagen,Golf GTI
99800,Used,79999,2013,1984,Kuala Lumpur,Volkswagen,Golf GTI
58888,Used,84999,2011,1984,Selangor,Volkswagen,Golf GTI
73888,Used,84999,2013,1984,Selangor,Volkswagen,Golf GTI
93800,Used,49999,2013,1984,Selangor,Volkswagen,Golf GTI
103800,Used,109999,2014,1984,Selangor,Volkswagen,Golf GTI
64800,Used,119999,2012,1984,Selangor,Volkswagen,Golf GTI
98999,Used,59999,2014,1984,Johor,Volkswagen,Golf GTI
109999,Used,94999,2015,1984,Kuala Lumpur,Volkswagen,Golf GTI
54900,Used,139999,2010,1984,Selangor,Volkswagen,Golf GTI
55000,Used,89999,2010,1984,Selangor,Volkswagen,Golf GTI
198888,Used,24999,2022,1984,Selangor,Volkswagen,Golf GTI
66800,Used,Used,Used,Used,Selangor,Volkswagen,Golf GTI
159000,Recon,39999,2018,1984,Kuala Lumpur,Volkswagen,Golf GTI
94800,Used,84999,2014,1984,Johor,Volkswagen,Golf GTI
83888,Used,149999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
54800,Used,99999,2011,1984,Kuala Lumpur,Volkswagen,Golf GTI
136900,Used,49999,2017,1984,Kuala Lumpur,Volkswagen,Golf GTI
55800,Used,99999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
66900,Used,139999,2013,1984,Selangor,Volkswagen,Golf GTI
98800,Used,74999,2013,1984,Selangor,Volkswagen,Golf GTI
93333,Used,89999,2013,1984,Selangor,Volkswagen,Golf GTI
43800,Used,159999,2008,1984,Selangor,Volkswagen,Golf GTI
50333,Used,89999,2010,1984,Selangor,Volkswagen,Golf GTI
126000,Used,129999,2013,1984,Melaka,Volkswagen,Golf GTI
178000,Recon,34999,2019,1984,Selangor,Volkswagen,Golf GTI
109888,Used,79999,2014,1984,Selangor,Volkswagen,Golf GTI
109888,Used,94999,2014,1984,Kuala Lumpur,Volkswagen,Golf GTI
98999,Used,64999,2014,1984,Johor,Volkswagen,Golf GTI
48800,Used,169999,2010,1984,Penang,Volkswagen,Golf GTI
50999,Used,139999,2011,1984,Selangor,Volkswagen,Golf GTI
55888,Used,99999,2011,1984,Selangor,Volkswagen,Golf GTI
48999,Used,139999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
61999,Used,109999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
69800,Used,74999,2012,1984,Johor,Volkswagen,Golf GTI
98800,Used,79999,2013,1984,Selangor,Volkswagen,Golf GTI
55900,Used,94999,2010,1984,Selangor,Volkswagen,Golf GTI
50333,Used,89999,2011,1984,Selangor,Volkswagen,Golf GTI
62800,Used,84999,2013,1984,Selangor,Volkswagen,Golf GTI
62800,Used,Used,Used,Used,Selangor,Volkswagen,Golf GTI
108800,Used,84999,2014,1984,Selangor,Volkswagen,Golf GTI
99800,Used,Used,Used,Used,Selangor,Volkswagen,Golf GTI
63800,Used,64999,2013,1984,Kuala Lumpur,Volkswagen,Golf GTI
54999,Used,94999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
189000,Used,39999,2018,1984,Selangor,Volkswagen,Golf GTI
178000,Recon,39999,2019,1984,Selangor,Volkswagen,Golf GTI
110800,Used,69999,2013,1984,Selangor,Volkswagen,Golf GTI
220000,Used,4999,2023,1998,Kuala Lumpur,Volkswagen,Golf GTI
175000,Recon,24999,2018,1984,Kuala Lumpur,Volkswagen,Golf GTI
58800,Used,79999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
59800,Used,84999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
113800,Used,84999,2011,1984,Selangor,Volkswagen,Golf GTI
69800,Used,94999,2012,1984,Johor,Volkswagen,Golf GTI
58800,Used,Used,Used,Used,Perak,Volkswagen,Golf GTI
99900,Used,Used,Used,Used,Kuala Lumpur,Volkswagen,Golf GTI
82800,Used,139999,2012,1984,Kuala Lumpur,Volkswagen,Golf GTI
145900,Used,79999,2018,1984,Selangor,Volkswagen,Golf GTI
159000,Recon,49999,2018,1984,Kuala Lumpur,Volkswagen,Golf GTI
68800,Used,129999,2012,1984,Johor,Volkswagen,Golf GTI
67800,Used,84999,2012,1984,Selangor,Volkswagen,Golf GTI
65800,Used,84999,2014,1984,Kuala Lumpur,Volkswagen,Golf GTI
244990,New,4999,2023,1998,Kuala Lumpur,Volkswagen,Golf GTI
62800,Used,94999,2010,1984,Kuala Lumpur,Volkswagen,Golf GTI
75980,Used,Used,Used,Used,Selangor,Volkswagen,Golf GTI
133800,Used,94999,2015,1984,Selangor,Volkswagen,Golf GTI
